report_id,facility_type,region,inspection_report,co_risk_level
RPT-0001,Cement plant,Central,Site 1: Cement plant outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0002,Steel mill,West,RPT-0002: Steel mill intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0003,Foundry,East,Audit 3 at Foundry: CO reached 38 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0004,Foundry,South,Inspection RPT-0004: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0005,Power station,South,Audit 5 at Power station: CO reached 40 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0006,Foundry,North,Inspection RPT-0006: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0007,Foundry,South,Audit 7 at Foundry: CO reached 42 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0008,Foundry,North,Inspection RPT-0008: Foundry stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0009,Chemical refinery,North,Site 9: Chemical refinery outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0010,Cement plant,East,Inspection RPT-0010: Cement plant stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0011,Power station,West,Site 11: Power station outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0012,Power station,Central,RPT-0012: Power station intermittent CO spikes to 47 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0013,Steel mill,North,Audit 13 at Steel mill: CO reached 48 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0014,Steel mill,Central,RPT-0014: Steel mill intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0015,Foundry,East,Site 15: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0016,Cement plant,South,RPT-0016: Cement plant intermittent CO spikes to 36 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0017,Power station,Central,Emergency 17: Power station reading 167 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0018,Steel mill,West,Inspection RPT-0018: Steel mill stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0019,Foundry,North,Site 19: Foundry outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0020,Foundry,North,Inspection RPT-0020: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0021,Foundry,Central,Emergency 21: Foundry reading 171 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0022,Foundry,West,Inspection RPT-0022: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0023,Power station,South,Audit 23 at Power station: CO reached 43 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0024,Chemical refinery,West,CRITICAL RPT-0024: Chemical refinery CO peaked at 174 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0025,Power station,North,Emergency 25: Power station reading 175 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0026,Power station,North,Inspection RPT-0026: Power station stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0027,Power station,South,Audit 27 at Power station: CO reached 47 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0028,Cement plant,West,CRITICAL RPT-0028: Cement plant CO peaked at 178 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0029,Chemical refinery,North,Audit 29 at Chemical refinery: CO reached 49 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0030,Chemical refinery,North,Inspection RPT-0030: Chemical refinery stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0031,Power station,East,Audit 31 at Power station: CO reached 36 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0032,Steel mill,South,RPT-0032: Steel mill intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0033,Power station,South,Site 33: Power station outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0034,Foundry,South,Inspection RPT-0034: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0035,Power station,South,Audit 35 at Power station: CO reached 40 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0036,Cement plant,South,CRITICAL RPT-0036: Cement plant CO peaked at 186 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0037,Cement plant,South,Site 37: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0038,Foundry,North,Inspection RPT-0038: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0039,Steel mill,West,Emergency 39: Steel mill reading 189 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0040,Foundry,Central,Inspection RPT-0040: Foundry stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0041,Steel mill,East,Emergency 41: Steel mill reading 191 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0042,Foundry,Central,Inspection RPT-0042: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0043,Chemical refinery,Central,Audit 43 at Chemical refinery: CO reached 48 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0044,Chemical refinery,Central,Inspection RPT-0044: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0045,Cement plant,West,Site 45: Cement plant outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0046,Power station,North,CRITICAL RPT-0046: Power station CO peaked at 196 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0047,Foundry,South,Site 47: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0048,Power station,Central,CRITICAL RPT-0048: Power station CO peaked at 198 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0049,Power station,North,Site 49: Power station outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0050,Steel mill,West,RPT-0050: Steel mill intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0051,Foundry,East,Site 51: Foundry outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0052,Foundry,South,CRITICAL RPT-0052: Foundry CO peaked at 202 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0053,Foundry,East,Site 53: Foundry outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0054,Power station,East,CRITICAL RPT-0054: Power station CO peaked at 204 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0055,Chemical refinery,West,Site 55: Chemical refinery outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0056,Cement plant,East,RPT-0056: Cement plant intermittent CO spikes to 46 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0057,Chemical refinery,East,Emergency 57: Chemical refinery reading 207 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0058,Power station,South,Inspection RPT-0058: Power station stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0059,Foundry,North,Audit 59 at Foundry: CO reached 49 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0060,Chemical refinery,Central,CRITICAL RPT-0060: Chemical refinery CO peaked at 210 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0061,Power station,South,Emergency 61: Power station reading 211 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0062,Cement plant,South,CRITICAL RPT-0062: Cement plant CO peaked at 212 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0063,Power station,South,Emergency 63: Power station reading 213 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0064,Power station,Central,RPT-0064: Power station intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0065,Foundry,West,Audit 65 at Foundry: CO reached 40 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0066,Chemical refinery,Central,Inspection RPT-0066: Chemical refinery stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0067,Steel mill,South,Site 67: Steel mill outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0068,Steel mill,East,Inspection RPT-0068: Steel mill stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0069,Power station,North,Emergency 69: Power station reading 219 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0070,Power station,East,RPT-0070: Power station intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0071,Chemical refinery,Central,Site 71: Chemical refinery outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0072,Chemical refinery,West,Inspection RPT-0072: Chemical refinery stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0073,Steel mill,Central,Site 73: Steel mill outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0074,Cement plant,Central,RPT-0074: Cement plant intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0075,Cement plant,East,Emergency 75: Cement plant reading 225 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0076,Chemical refinery,Central,Inspection RPT-0076: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0077,Power station,West,Emergency 77: Power station reading 227 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0078,Steel mill,East,Inspection RPT-0078: Steel mill stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0079,Power station,South,Audit 79 at Power station: CO reached 39 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0080,Cement plant,East,RPT-0080: Cement plant intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0081,Power station,Central,Audit 81 at Power station: CO reached 41 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0082,Power station,North,CRITICAL RPT-0082: Power station CO peaked at 152 ppm. Failed stack test; cracked heat exchanger identified.,High
