email_id,sender_domain,email_body,phishing_label
EM-0001,account-alert-secure.com,Invoice INV-8001 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0002,account-alert-secure.com,Security alert #2: unusual sign-in detected in region 3. Reset your banking PIN now before funds are locked.,Phishing
EM-0003,shop-retail.com,Project kickoff notes for initiative P-3 are in /shared/projects/3. Please review action items by EOD.,Legitimate
EM-0004,shop-retail.com,IT ticket #1004 resolved. Your laptop patch KB-4 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0005,university.edu,"Hi team, sprint 6 review is scheduled for Monday at 6pm in conference room F. Agenda attached.",Legitimate
EM-0006,account-alert-secure.com,Invoice INV-8006 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0007,secure-login-update.net,Security alert #7: unusual sign-in detected in region 8. Reset your banking PIN now before funds are locked.,Phishing
EM-0008,secure-login-update.net,Congratulations! Prize code WIN-8 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0009,shop-retail.com,IT ticket #1009 resolved. Your laptop patch KB-9 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0010,university.edu,"Hi team, sprint 11 review is scheduled for Monday at 11pm in conference room E. Agenda attached.",Legitimate
EM-0011,account-alert-secure.com,Invoice INV-8011 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0012,secure-login-update.net,Security alert #12: unusual sign-in detected in region 4. Reset your banking PIN now before funds are locked.,Phishing
EM-0013,shop-retail.com,Project kickoff notes for initiative P-13 are in /shared/projects/13. Please review action items by EOD.,Legitimate
EM-0014,account-alert-secure.com,Mailbox 14: Your subscription payment failed. Update billing at bank-verify-now.io within 3 hours or lose access.,Phishing
EM-0015,account-alert-secure.com,URGENT EM-0015: Account user-15 suspended in 16 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0016,university.edu,Your order #48016 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0017,secure-login-update.net,Security alert #17: unusual sign-in detected in region 9. Reset your banking PIN now before funds are locked.,Phishing
EM-0018,company.com,Project kickoff notes for initiative P-18 are in /shared/projects/18. Please review action items by EOD.,Legitimate
EM-0019,company.com,IT ticket #1019 resolved. Your laptop patch KB-19 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0020,shop-retail.com,"Hi team, sprint 9 review is scheduled for Monday at 10pm in conference room C. Agenda attached.",Legitimate
EM-0021,university.edu,Your order #48021 has shipped via route 1. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0022,shop-retail.com,Reminder REF-22: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0023,account-alert-secure.com,Congratulations! Prize code WIN-23 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0024,university.edu,IT ticket #1024 resolved. Your laptop patch KB-24 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0025,hr-portal.org,"Hi team, sprint 2 review is scheduled for Monday at 4pm in conference room B. Agenda attached.",Legitimate
EM-0026,secure-login-update.net,Invoice INV-8026 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0027,account-alert-secure.com,Security alert #27: unusual sign-in detected in region 1. Reset your banking PIN now before funds are locked.,Phishing
EM-0028,hr-portal.org,Project kickoff notes for initiative P-28 are in /shared/projects/28. Please review action items by EOD.,Legitimate
EM-0029,university.edu,IT ticket #1029 resolved. Your laptop patch KB-29 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0030,secure-login-update.net,URGENT EM-0030: Account user-30 suspended in 31 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0031,company.com,Your order #48031 has shipped via route 11. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0032,account-alert-secure.com,Security alert #32: unusual sign-in detected in region 6. Reset your banking PIN now before funds are locked.,Phishing
EM-0033,university.edu,Project kickoff notes for initiative P-33 are in /shared/projects/33. Please review action items by EOD.,Legitimate
EM-0034,hr-portal.org,IT ticket #1034 resolved. Your laptop patch KB-34 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0035,shop-retail.com,"Hi team, sprint 12 review is scheduled for Monday at 3pm in conference room F. Agenda attached.",Legitimate
EM-0036,hr-portal.org,Your order #48036 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0037,secure-login-update.net,Security alert #37: unusual sign-in detected in region 2. Reset your banking PIN now before funds are locked.,Phishing
